id,latitude,longitude,open,accessible
wp258,39.25633994,-76.71418172,TRUE,TRUE
wp259,39.25600998,-76.71372809,TRUE,TRUE
wp260,39.25595566,-76.71367213,TRUE,TRUE
wp261,39.2558418,-76.71367475,TRUE,TRUE
wp262,39.25685873,-76.71442345,TRUE,TRUE
wp263,39.25705215,-76.71505788,TRUE,TRUE
wp264,39.25719452,-76.71426226,TRUE,TRUE
wp265,39.25740352,-76.71498888,TRUE,TRUE
wp266,39.25744006,-76.71505113,TRUE,FALSE
wp267,39.25748038,-76.71512245,TRUE,TRUE
wp268,39.25812456,-76.71449424,TRUE,TRUE
wp269,39.25872029,-76.71382519,TRUE,TRUE
wp270,39.25888101,-76.71359395,TRUE,TRUE
wp271,39.25838245,-76.71310206,TRUE,TRUE
wp272,39.25830748,-76.71308928,TRUE,TRUE
wp273,39.25858937,-76.71360587,TRUE,FALSE
wp274,39.2580662,-76.71268201,TRUE,TRUE
wp275,39.25798779,-76.71305491,TRUE,FALSE
wp276,39.2581564,-76.7132312,TRUE,FALSE
wp277,39.25800621,-76.71249645,TRUE,TRUE
wp278,39.25786831,-76.71224139,TRUE,TRUE
wp279,39.25775919,-76.71233927,TRUE,TRUE
wp280,39.25762548,-76.71179918,TRUE,TRUE
wp281,39.25753249,-76.71165734,TRUE,TRUE
wp282,39.25748614,-76.71157307,TRUE,TRUE
wp283,39.25747032,-76.71164728,TRUE,TRUE
wp284,39.25744491,-76.71177245,TRUE,TRUE
wp285,39.25743914,-76.71148557,TRUE,TRUE
wp286,39.25740473,-76.71152099,TRUE,TRUE
wp287,39.25716346,-76.71113417,TRUE,TRUE
wp288,39.25712354,-76.71107302,TRUE,TRUE
wp289,39.25707679,-76.71090854,TRUE,TRUE
wp290,39.25700068,-76.71079179,TRUE,TRUE
wp291,39.25676091,-76.71067955,TRUE,TRUE
wp292,39.25680515,-76.71058755,TRUE,TRUE
wp293,39.25689276,-76.71062558,TRUE,TRUE
wp294,39.2569084,-76.71051797,TRUE,TRUE
wp295,39.25698126,-76.71045887,TRUE,TRUE
wp296,39.25696388,-76.71039988,TRUE,TRUE
wp297,39.2568791,-76.71044033,TRUE,TRUE
wp298,39.25673736,-76.71052854,TRUE,TRUE
wp299,39.25671394,-76.71045345,TRUE,FALSE
wp300,39.25681362,-76.71043351,TRUE,TRUE
wp301,39.25672263,-76.71041282,TRUE,TRUE
wp302,39.25678269,-76.7103236,TRUE,TRUE
wp303,39.25668101,-76.71030482,TRUE,TRUE
wp304,39.25723625,-76.71026412,TRUE,TRUE
wp305,39.25732547,-76.71053843,TRUE,TRUE
wp306,39.25421723,-76.70501297,TRUE,TRUE
wp307,39.25393089,-76.70439405,TRUE,FALSE
wp308,39.2538311,-76.70415124,TRUE,TRUE
wp309,39.25368855,-76.70412935,TRUE,TRUE
wp310,39.25728892,-76.71100222,TRUE,TRUE
